Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Vibrant Group,BIP,VIBR.SI,65.005,162.853,20.44,,Transportation,46
VibroPower,BJD,VIBO.SI,4.486,12.293,,,Industrial Goods,69
VICOM Ltd,WJP,VCOM.SI,723.319,86.452,29.54,3.05,Industrial & Commercial Services,
Vicplas Intl,569,VICP.SI,98.64,98.199,13.01,1.94,Healthcare Services,52
VikingOffshore,1Y1,VIKO.SI,4.431,15.782,,,Energy - Fossil Fuels,
Vividthree,OMK,VIVI.SI,15.365,2.027,,,Cyclical Consumer Services,46
Wee Hur,E3B,WHHL.SI,196.542,189.945,6.78,2.38,Industrial & Commercial Services,63
Willas-Array,BDR,0854.HK,327.195,3557.935,3.54,8.46,Technology Equipment,72
Wilmar Intl,F34,WLIL.SI,28815.305,68676.016,13.72,2.89,Food & Beverages,78
Wilton Resources,5F7,WILT.SI,61.7,0.489,,,Mineral Resources,61
Wing Tai,W05,WTHS.SI,1460.826,430.949,130.31,1.63,Real Estate,91
Wong Fong Ind,1A1,WONG.SI,34.78,49.278,16.78,2.91,Industrial Goods,67
World Precision,B49,WPML.SI,130,245.853,6.24,4.78,Industrial Goods,56
XMH,BQF,XMHL.SI,11.566,64.197,11.69,,Industrial Goods,64
Y Ventures,1F1,YVEN.SI,15.799,47.598,14.62,,Software & IT Services,67
Yamada Green Res,BJV,YAMR.SI,58.628,13.238,,,Food & Beverages,33
Yanlord Land,Z25,YNLG.SI,2182.584,5012.867,3.98,6.07,Real Estate,58
Yeo Hiap Seng,Y03,YHSS.SI,531.597,321.868,,2.22,Food & Beverages,73
YHI Intl,BPF,YHII.SI,140.302,422.795,7.3,6.88,Automobiles & Auto Parts,61
Yinda Infocomm,42F,YIND.SI,197.933,6.165,,,Telecommunications Services,68
Ying Li Intl,5DM,YING.SI,199.449,48.421,,,Real Estate,66
Yoma Strategic,Z59,YOMA.SI,302.058,129.299,,,Real Estate,101
Yongmao,BKX,YNMH.SI,79.875,215.446,6.95,1.11,Industrial Goods,64
Yongnam,AXB,YNAM.SI,27.163,92.85,,,Industrial & Commercial Services,71
Yunnan Energy,T43,1298.HK,413.155,60.988,,,Technology Equipment,43
YuuZoo Networks,AFC,YUUZ.SI,29.604,15.733,,,Software & IT Services,-12
YZJ Shipbldg CNY,SO7,,,,,,,
YZJ Shipbldg SGD,BS6,YAZG.SI,6000.856,2761.529,9.37,2.98,Industrial Goods,74
Zheneng Jinjiang,BWM,ZHEN.SI,625.231,646.499,9.12,,Industrial & Commercial Services,70
Zhongmin Baihui,5SR,ZBRG.SI,142.332,257.838,12.01,4.14,Retailers,63
Zhongxin Fruit,5EG,ZHON.SI,39.052,24.151,,,Food & Beverages,52
ZICO Hldgs,40W,ZICO.SI,27.144,20.654,,,Banking & Investment Services,64
